sku,in_db,in_ss,in_bc,db_available,db_on_hand,db_bc_mapped,db_client_store_maps,ss_available,ss_on_hand,bc_quantity_available,bc_band_name,bc_title
CD-NS-020,0,0,1,,,0,0,,,0,Northern Spy Records,LP
CD-NS-021,0,1,1,,,0,0,4,4,3,Northern Spy Records,CD
CD-NS-022,0,1,1,,,0,0,2,2,2,Northern Spy Records,CD
CD-NS-023,0,0,1,,,0,0,,,10,Northern Spy Records,CD
CD-NS-024,0,1,1,,,0,0,4,4,4,Northern Spy Records,CD
CD-NS-025,1,1,1,,,0,0,6,6,3,Northern Spy Records,Compact Disc
CD-NS-025-1,0,0,1,,,0,0,,,5,Northern Spy Records,CD
CD-NS-026,0,1,1,,,0,0,3,3,3,Northern Spy Records,CD
CD-NS-027,0,1,1,,,0,0,7,7,7,Northern Spy Records,Box Set
CD-NS-028,0,1,1,,,0,0,9,9,9,Northern Spy Records,CD
CD-NS-030,0,1,1,,,0,0,4,4,4,Northern Spy Records,CD
CD-NS-031,0,1,1,,,0,0,1,1,2,Northern Spy Records,Compact Disc
CD-NS-032,0,1,1,,,0,0,8,8,9,Northern Spy Records,CD
CD-NS-034,0,1,1,,,0,0,8,8,1,Northern Spy Records,Compact Disc
CD-NS-035,0,1,1,,,0,0,4,4,4,Northern Spy Records,CD
CD-NS-037,1,1,1,,,0,0,10,10,3,Northern Spy Records,Compact Disc
CD-NS-038,0,0,1,,,0,0,,,0,Northern Spy Records,Compact Disc
CD-NS-038-1,0,0,1,,,0,0,,,0,Northern Spy Records,Compact Disc
CD-NS-039,0,0,1,,,0,0,,,0,Northern Spy Records,CD
CD-NS-040,0,1,1,,,0,0,11,11,4,Northern Spy Records,Compact Disc
CD-NS-043,0,1,1,,,0,0,3,3,3,Northern Spy Records,CD
CD-NS-044,1,1,1,,,0,0,8,8,7,Northern Spy Records,CD
CD-NS-045,0,0,1,,,0,0,,,4,Northern Spy Records,CD
CD-NS-046,0,1,1,,,0,0,10,10,4,Northern Spy Records,CD + Download
CD-NS-047,0,0,1,,,0,0,,,16,Northern Spy Records,CD
CD-NS-048,0,1,1,,,0,0,3,3,3,Northern Spy Records,CD+Digital
CD-NS-050,0,1,1,,,0,0,10,10,10,Northern Spy Records,Compact Disc in digipak
CD-NS-051,0,0,1,,,0,0,,,,Northern Spy Records,CD
CD-NS-052,0,0,1,,,0,0,,,0,Northern Spy Records,"4 panel digipak, compact disc"
CD-NS-055,0,0,1,,,0,0,,,6,Northern Spy Records,Double disc set with booklet
CD-NS-056,0,1,1,,,0,0,8,8,9,Northern Spy Records,Compact Disc
CD-NS-057,0,0,1,,,0,0,,,50,Northern Spy Records,CD
CD-NS-058,0,1,1,,,0,0,7,7,0,Northern Spy Records,CD
CD-NS-059,1,1,1,,,0,0,20,20,19,Northern Spy Records,Compact Disc
CD-NS-060,0,0,1,,,0,0,,,1,Northern Spy Records,CD
CD-NS-062,0,1,1,,,0,0,5,5,5,Northern Spy Records,Compact Disc
CD-NS-064,1,1,1,,,0,0,4,4,0,Northern Spy Records,CD
CD-NS-066,0,1,1,,,0,0,9,9,9,Northern Spy Records,digipak compact disc
CD-NS-067,0,0,1,,,0,0,,,20,Northern Spy Records,Compact Disc
CD-NS-069,1,1,1,,,0,0,8,8,8,Northern Spy Records,Compact Disc
CD-NS-070,0,1,1,,,0,0,9,9,2,Northern Spy Records,3 CD Digipak
CD-NS-071,0,1,1,,,0,0,8,8,6,Northern Spy Records,Compact Disc / Digipak
CD-NS-073,0,0,1,,,0,0,,,0,Northern Spy Records,Double CD in gatefold card case
CD-NS-074,0,1,1,,,0,0,9,9,2,Northern Spy Records,Compact Disc
CD-NS-075,0,0,1,,,0,0,,,0,Northern Spy Records,Compact Disc
CD-NS-077,0,1,1,,,0,0,10,10,0,Northern Spy Records,Compact Disc
CD-NS-079,0,0,1,,,0,0,,,21,Northern Spy Records,Compact Disc
CD-NS-080,0,1,1,,,0,0,12,12,12,Northern Spy Records,CD
CD-NS-082,0,1,1,,,0,0,7,7,0,Northern Spy Records,CD
CD-NS-083,0,1,1,,,0,0,10,10,7,Northern Spy Records,Compact Disc
CD-NS-085,0,1,1,,,0,0,31,31,31,Northern Spy Records,Compact Disc
CD-NS-086,0,1,1,,,0,0,10,10,10,Northern Spy Records,Compact Disc
CD-NS-090,0,0,1,,,0,0,,,0,Northern Spy Records,Compact Disc
CD-NS-091,0,1,1,,,0,0,11,11,4,Northern Spy Records,Compact Disc
