sku,old_title,new_title,shopify_id
"LP-THEHOLEI-K5F8","NNA Tapes - The Hole in the Landscape' - Limited Edition Vinyl LP","NNA Tapes - The Hole in the Landscape' LP",""
"CD-BRICKAND-K77P","Birdwatcher Records - Brick and Mortar - Compact Disc","Birdwatcher Records - Brick and Mortar CD",""
"CD-FINDINGF-K914","Birdwatcher Records - Finding Fire - Cale Brandley with Triptych Myth: Finding Fire CD","Birdwatcher Records - Finding Fire CD",""
"CS-LIVINGPE-K516","NNA Tapes - Living Pearl' - Limited Edition Cassette","NNA Tapes - Living Pearl' Cassette",""
"NG-PMV3-V","LEAVING RECORDS - Cloud Suites - CASSETTE","Nico Georis - Plant Music Vol.3 - The Golden Teachers LP",""
"LP-THEYSELL-K461","NNA Tapes - They Sell Doomsday' - Limited Edition Double Vinyl LP","NNA Tapes - They Sell Doomsday' LP",""
"CD-PEACEBEY-K61G","Birdwatcher Records - Peace Beyond Conflict - CD in Digipack","Birdwatcher Records - Peace Beyond Conflict CD",""
"CD-BASKETST-K7TS","Birdwatcher Records - Basket Star - Adir L.C. Basket Star CD","Birdwatcher Records - Basket Star CD",""
"CS-THEHUMOR-K9OU","Birdwatcher Records - The Humors - The Humors Cassette","Birdwatcher Records - The Humors Cassette",""
"TS-NS-137D","Instant Night T-Shirt Bundle","Beauty Pill - Instant Night T-Shirt Bundle","gid://shopify/Product/10310468239675"
"CS-URGETOME-K4TR","NNA Tapes - Urge To Merge' - Limited Edition Cassette","NNA Tapes - Urge To Merge' Cassette",""
"LP-TOMBEAUX-K6NH","Birdwatcher Records - Tombeaux - 12"" Vinyl","Birdwatcher Records - Tombeaux LP",""
"LR-CLRL","LEAVING RECORDS - 49 ALBUMS FOR MUSIC CENTERED PSYCHEDELIC INTEGRATI","LEAVING RECORDS - CLASSIC LEAVING RECORDS LOGO HAT",""
"LP-TIMOKA-K8F7","Birdwatcher Records - Timoka - Timoka Deluxe Vinyl","Birdwatcher Records - Timoka LP",""
"CS-ASIFALWA-KAB9","Birdwatcher Records - as if always - Limited Edition Colored Cassette","Birdwatcher Records - as if always Cassette",""
"LP-IDENTITY-K4ML","NNA Tapes - Identity Picks' - 12 inch Vinyl","NNA Tapes - Identity Picks' LP",""
"CD-THEYSELL-K3XM","NNA Tapes - They Sell Doomsday' - Limited Edition Compact Disc","NNA Tapes - They Sell Doomsday' CD",""
"NG-PMV1-PMTB","LEAVING RECORDS - Cloud Suites - CLEAR VINYL","Nico Georis - Plant Music Vol 1 - Shirley Shirley Shirley! LP",""
"LP-CELLSREM-K5U6","Birdwatcher Records - Cells Remain - 12"" Vinyl","Birdwatcher Records - Cells Remain LP",""
"NG-CS-TB","LEAVING RECORDS - Plant Music Vol.3 - The Golden Teachers - CASSETTE","Nico Georis - Cloud Suites LP",""
"CD-CELLSREM-K5MY","Birdwatcher Records - Cells Remain - CD","Birdwatcher Records - Cells Remain CD",""
"CD-OUTERSON-K7FI","Birdwatcher Records - Outer Song - CD in Digipack","Birdwatcher Records - Outer Song CD",""
"CD-POWERVIB-K995","Birdwatcher Records - Power Vibe - CD","Birdwatcher Records - Power Vibe CD",""
"LP-IDONTWAN-K4FG","NNA Tapes - I Don’t Want To Die' - 12 inch Vinyl","NNA Tapes - I Don’t Want To Die' LP",""
"TS-NS-137B","Instant Night ""Nature Got The Left Swipe"" T-Shirt","Beauty Pill - Instant Night ""Nature Got The Left Swipe"" T-Shirt","gid://shopify/Product/10310468174139"
"CD-THEMASQU-K68Z","Birdwatcher Records - The Masquerade Is Over - Digipak CD","Birdwatcher Records - The Masquerade Is Over CD",""
"CD-TULIPORT-K6GI","Birdwatcher Records - Tulip or Turnip - Tulip or Turnip CD in Digipack","Birdwatcher Records - Tulip or Turnip CD",""
"CD-TIMOKA-K88E","Birdwatcher Records - Timoka - Timoka Deluxe CD in Jacket","Birdwatcher Records - Timoka CD",""
"LP-ASIFALWA-KA3N","Birdwatcher Records - as if always - 150gm Colored Vinyl LP","Birdwatcher Records - as if always LP",""
