sku,existing_qty,bandcamp_qty,account,product_title
LP-NNA-075-1,31,31,"NNA Tapes","Standard 12" Vinyl"
LP-NS-050,4,4,"Northern Spy Records","12" Vinyl"
MLP-NS-139-R&B,20,20,"Northern Spy Records","2 x LP "Red & Blue" Edition"
LP-NS-163,30,30,"Northern Spy Records","Black Vinyl"
LP-NS-125,4,4,"Northern Spy Records","Black Vinyl LP"
CS-NS-173,65,65,"Northern Spy Records","Cassette + Broadsheet Poster"
SR-S-C,460,460,"Northern Spy Records","CD"
CD-NS-035,4,4,"Northern Spy Records","CD"
CD-NS-139-1,8,8,"Northern Spy Records","Compact Disc"
PS-HBC-HBCL,4,4,"Northern Spy Records","Head Body Connector - Limited Edition "Cracked Egg" Vinyl"
TT-S-JMLE,31,31,"Northern Spy Records","Juliette b/w Muerto Limited Edition 7""
LP-NS-133D2F,39,39,"Northern Spy Records","Limited Edition Blue Vinyl LP"
S-S-LEDV,6,6,"Northern Spy Records","Limited Edition Double Vinyl"
SR-MPDC,33,4,"Northern Spy Records","Manic Pixie Dream Cunt T-Shirt"
SR-MPDC,33,11,"Northern Spy Records","Manic Pixie Dream Cunt T-Shirt"
SR-MPDC,33,5,"Northern Spy Records","Manic Pixie Dream Cunt T-Shirt"
SR-MPDC,33,13,"Northern Spy Records","Manic Pixie Dream Cunt T-Shirt"
CD-FOM-0000,3,1,"Northern Spy Records","Sex CD"
LP-NS-163-COLOR,15,15,"Northern Spy Records","Splatter Vinyl"
LP-NS-138,13,13,"Northern Spy Records","Standard Black LP"
LP-NS-133,21,21,"Northern Spy Records","Standard Black Vinyl LP (2nd Pressing)"
LP-NS-100,22,22,"Northern Spy Records","Standard Black Vinyl Record"
NS-158-SHIRT,1,1,"Northern Spy Records","T-Shirt (The New Black)"
LP-NS-075,55,55,"Northern Spy Records","Vinyl Record"
NS-120-GREEN,19,19,"Northern Spy Records","Wetlands Green 12" Vinyl LP (2nd Pressing)"
S-ACFT,1,1,"SUSS","Ambient Country Festival Tee"
S-BBMT,74,4,"SUSS","Birds & Beast  Monkey Tee"
S-BBMT,74,8,"SUSS","Birds & Beast  Monkey Tee"
S-BBMT,74,18,"SUSS","Birds & Beast  Monkey Tee"
S-BBMT,74,21,"SUSS","Birds & Beast  Monkey Tee"
S-BBMT,74,21,"SUSS","Birds & Beast  Monkey Tee"
S-BBMT,74,2,"SUSS","Birds & Beast  Monkey Tee"
S-BBST,68,14,"SUSS","BIrds & Beast Skull Tee"
S-BBST,68,11,"SUSS","BIrds & Beast Skull Tee"
S-BBST,68,22,"SUSS","BIrds & Beast Skull Tee"
S-BBST,68,7,"SUSS","BIrds & Beast Skull Tee"
S-BBST,68,12,"SUSS","BIrds & Beast Skull Tee"
S-BBST,68,2,"SUSS","BIrds & Beast Skull Tee"
S-BPT,16,7,"SUSS","Black Promise Tee"
S-BPT,16,3,"SUSS","Black Promise Tee"
S-BPT,16,1,"SUSS","Black Promise Tee"
S-BPT,16,5,"SUSS","Black Promise Tee"
S-HGST,68,5,"SUSS","Heather Gray Sunbeam Tee"
